"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","108","","com.portfolio.api.tests.GetUsersTest","","com.portfolio.api.tests.GetUsersTest","deberiaListarUsuariosDePaginas","deberiaListarUsuariosDePaginas(int) Listar usuarios de la página 2","Verifica que GET /users?page={page} responda 200, cumpla el esquema JSON y contenga datos."
"passed","Sat Sep 12 01:59:09 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","182","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaCrearUsuariosConDiversosDatos","deberiaCrearUsuariosConDiversosDatos(String, String) Crear usuario: , ","Valida que la API acepte diversas combinaciones de nombre y job, siempre respondiendo 201 (comportamiento actual de ReqRes)."
"passed","Sat Sep 12 01:59:07 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","262","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaActualizarElJobDeUnUsuario","deberiaActualizarElJobDeUnUsuario(String, String) Actualizar usuario: LongNameLongNameLongNameLongNameLongNameLongNameLongNameLongNameLongNameLongName, LongJobLongJobLongJobLongJobLongJobLongJobLongJobLongJobLongJobLongJob","Envía PUT /users/{id} con un nuevo job y valida que la respuesta refleje el cambio y traiga un updatedAt."
"passed","Sat Sep 12 01:59:05 UTC 2026","Sat Sep 12 01:59:10 UTC 2026","4370","","com.portfolio.api.tests.MockedUserTest","","com.portfolio.api.tests.MockedUserTest","deberiaManejarTimeoutCuandoLaApiTarda","deberiaManejarTimeoutCuandoLaApiTarda()","Simula un retraso en la respuesta para validar el comportamiento de timeout."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","53","","com.portfolio.api.tests.MockedUserTest","","com.portfolio.api.tests.MockedUserTest","deberiaManejarJsonCorrupto","deberiaManejarJsonCorrupto()","Simula una respuesta con JSON mal formado para validar la resiliencia del framework."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","239","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaActualizarElJobDeUnUsuario","deberiaActualizarElJobDeUnUsuario(String, String) Actualizar usuario: Diego Caldas, QA Automation Engineer","Envía PUT /users/{id} con un nuevo job y valida que la respuesta refleje el cambio y traiga un updatedAt."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","220","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaCrearUsuariosConDiversosDatos","deberiaCrearUsuariosConDiversosDatos(String, String) Crear usuario: Diego Caldas, QA Automation Engineer","Valida que la API acepte diversas combinaciones de nombre y job, siempre respondiendo 201 (comportamiento actual de ReqRes)."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","209","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaCrearUsuariosConDiversosDatos","deberiaCrearUsuariosConDiversosDatos(String, String) Crear usuario: User🚀, QA🔥","Valida que la API acepte diversas combinaciones de nombre y job, siempre respondiendo 201 (comportamiento actual de ReqRes)."
"passed","Sat Sep 12 01:59:09 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","205","","com.portfolio.api.tests.GetUsersTest","","com.portfolio.api.tests.GetUsersTest","deberiaObtenerUnUsuarioPorId","deberiaObtenerUnUsuarioPorId()","Verifica que GET /users/{id} devuelva 200 con el esquema esperado y datos consistentes (email no nulo, avatar con formato de URL)."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","337","","com.portfolio.api.tests.GetUsersTest","","com.portfolio.api.tests.GetUsersTest","deberiaResponder404ParaUsuarioInexistente","deberiaResponder404ParaUsuarioInexistente()","Caso negativo: un id de usuario que no existe (id=23) debe devolver 404, no un 200 con body vacío."
"passed","Sat Sep 12 01:59:04 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","4625","","com.portfolio.api.tests.GetUsersTest","","com.portfolio.api.tests.GetUsersTest","deberiaListarUsuariosDePaginas","deberiaListarUsuariosDePaginas(int) Listar usuarios de la página 1","Verifica que GET /users?page={page} responda 200, cumpla el esquema JSON y contenga datos."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","203","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaActualizarElJobDeUnUsuario","deberiaActualizarElJobDeUnUsuario(String, String) Actualizar usuario: User🚀, QA🔥","Envía PUT /users/{id} con un nuevo job y valida que la respuesta refleje el cambio y traiga un updatedAt."
"passed","Sat Sep 12 01:59:07 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","371","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaCrearUsuariosConDiversosDatos","deberiaCrearUsuariosConDiversosDatos(String, String) Crear usuario: LongNameLongNameLongNameLongNameLongNameLongNameLongNameLongNameLongNameLongName, LongJobLongJobLongJobLongJobLongJobLongJobLongJobLongJobLongJobLongJob","Valida que la API acepte diversas combinaciones de nombre y job, siempre respondiendo 201 (comportamiento actual de ReqRes)."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:09 UTC 2026","335","","com.portfolio.api.tests.CreateUserTest","","com.portfolio.api.tests.CreateUserTest","deberiaCrearUsuariosConDiversosDatos","deberiaCrearUsuariosConDiversosDatos(String, String) Crear usuario: Diego Caldas, null","Valida que la API acepte diversas combinaciones de nombre y job, siempre respondiendo 201 (comportamiento actual de ReqRes)."
"passed","Sat Sep 12 01:59:08 UTC 2026","Sat Sep 12 01:59:08 UTC 2026","226","","com.portfolio.api.tests.UpdateUserTest","","com.portfolio.api.tests.UpdateUserTest","deberiaActualizarElJobDeUnUsuario","deberiaActualizarElJobDeUnUsuario(String, String) Actualizar usuario: !@#$%^&*()_+, SpecialChars","Envía PUT /users/{id} con un nuevo job y valida que la respuesta refleje el cambio y traiga un updatedAt."
